,int10.txt,int50.txt,int100.txt,int1000.txt,int20k.txt,int500k.txt,intBig.txt,dutch.txt
quicksorta,0,0,0,0,2,77,148,515
quicksortc,0,0,0,0,2,70,149,508
quicksortd,0,0,0,0,3,68,133,31
insertion,0,0,0,1,115,70890,282511,69457
merge,0,0,0,0,3,96,190,80
quicksortb(16),0,0,0,0,2,55,114,408
